x,y,z,bx,by,bz
-10.0,-9.310344827586206,5.862068965517242,1.0778174177440734,-1.1268091185506228,0.04899170080654886
-10.0,-9.310344827586206,6.551724137931036,1.0234461546374973,-1.06794381353478,0.04449765889728254
-10.0,-9.310344827586206,7.241379310344829,0.9731110516056313,-1.0136573454225324,0.040546293816901315
-10.0,-9.310344827586206,7.931034482758622,0.9263474496786972,-0.9634013476658451,0.037053897987147914
-10.0,-9.310344827586206,8.620689655172415,0.8827627588712057,-0.9167151726739444,0.0339524138027387
-10.0,-9.310344827586206,9.310344827586208,0.8420233847503077,-0.8732094360373559,0.031186051287048443
-10.0,-9.310344827586206,10.0,0.8038443460968383,-0.8325530727431539,0.028708726646315668
-10.0,-8.620689655172413,-10.0,-13.6466979226411,0.0,13.6466979226411
-10.0,-8.620689655172413,-9.310344827586206,-9.75989606498456,-9.75989606498456,19.51979212996912
-10.0,-8.620689655172413,-8.620689655172413,0.0,-16.97496322133137,16.97496322133137
-10.0,-8.620689655172413,-7.931034482758621,4.488507302533862,-13.465521907601605,8.977014605067744
-10.0,-8.620689655172413,-7.241379310344827,5.040997057021955,-10.081994114043917,5.040997057021962
-10.0,-8.620689655172413,-6.551724137931034,4.717175336112655,-7.861958893521094,3.1447835574084384
-10.0,-8.620689655172413,-5.862068965517241,4.209741193867254,-6.314611790800885,2.104870596933629
-10.0,-8.620689655172413,-5.172413793103448,3.728183698609492,-5.219457178053292,1.4912734794437985
-10.0,-8.620689655172413,-4.482758620689655,3.315848857591687,-4.42113181012225,1.1052829525305632
-10.0,-8.620689655172413,-3.7931034482758617,2.970491739191342,-3.8192036646745833,0.8487119254832414
-10.0,-8.620689655172413,-3.1034482758620685,2.681385505064149,-3.351731881330187,0.6703463762660379
-10.0,-8.620689655172413,-2.4137931034482754,2.437747622042378,-2.9794693158295735,0.5417216937871954
-10.0,-8.620689655172413,-1.7241379310344822,2.2305356130170755,-2.6766427356204905,0.44610712260341534
-10.0,-8.620689655172413,-1.034482758620689,2.052579008571717,-2.4257751919483925,0.37319618337667587
-10.0,-8.620689655172413,-0.3448275862068959,1.8982880554190815,-2.214669397988929,0.316381342569847
-10.0,-8.620689655172413,0.34482758620689724,1.7633125829028669,-2.0345914418110005,0.2712788589081336
-10.0,-8.620689655172413,1.0344827586206904,1.6442506880775833,-1.879143643517238,0.23489295543965494
-10.0,-8.620689655172413,1.7241379310344835,1.5384216445839392,-1.7435445305284651,0.2051228859445254
-10.0,-8.620689655172413,2.4137931034482767,1.4436945609338856,-1.6241563810506214,0.1804618201167358
-10.0,-8.620689655172413,3.10344827586207,1.3583604359192532,-1.5181675460274011,0.15980711010814758
-10.0,-8.620689655172413,3.793103448275863,1.281036646772675,-1.423374051969639,0.142337405196964
